Date,Open,High,Low,Close,Adj Close,Volume
2003-09-30,22.059999,22.059999,21.700001,21.830000,14.439208,1406100
2003-10-01,21.959999,22.219999,21.910000,22.200001,14.683936,759400
2003-10-02,22.209999,22.400000,22.180000,22.360001,14.789770,219300
2003-10-03,22.650000,22.840000,22.530001,22.629999,14.968355,2446100
2003-10-06,22.549999,22.709999,22.510000,22.620001,14.961744,131400
2003-10-07,22.600000,22.730000,22.440001,22.719999,15.027888,141200
2003-10-08,22.809999,22.950001,22.750000,22.799999,15.080803,720200
2003-10-09,23.000000,23.070000,22.799999,22.889999,15.140328,2595100
2003-10-10,22.950001,23.000000,22.799999,22.820000,15.094034,203700
2003-10-13,22.990000,23.129999,22.950001,23.059999,15.252775,131800
2003-10-14,23.180000,23.209999,23.000000,23.209999,15.351986,243300
2003-10-15,23.320000,23.320000,23.049999,23.190001,15.338766,567900
2003-10-16,23.160000,23.440001,23.070000,23.270000,15.391683,348100
2003-10-17,23.370001,23.370001,23.000000,23.049999,15.246163,350600
2003-10-20,23.090000,23.200001,23.030001,23.139999,15.305692,369200
2003-10-21,23.150000,23.290001,23.129999,23.200001,15.345376,182300
2003-10-22,23.049999,23.049999,22.750000,22.809999,15.087421,257500
2003-10-23,22.780001,22.990000,22.770000,22.910000,15.153563,240300
2003-10-24,22.930000,22.930000,22.700001,22.870001,15.127102,81800
2003-10-27,22.850000,23.110001,22.850000,23.030001,15.232929,197800
2003-10-28,23.150000,23.270000,23.000000,23.230000,15.365218,258800
2003-10-29,23.150000,23.570000,23.139999,23.540001,15.570262,650100
2003-10-30,23.809999,24.059999,23.750000,23.950001,15.841460,543500
2003-10-31,23.969999,24.090000,23.820000,23.910000,15.814995,617800
2003-11-03,23.910000,24.299999,23.809999,23.959999,15.848080,782300
2003-11-04,23.950001,24.010000,23.809999,23.920000,15.821614,130800
2003-11-05,23.900000,23.950001,23.700001,23.830000,15.762084,579900
2003-11-06,23.790001,23.900000,23.660000,23.900000,15.808384,670800
2003-11-07,23.900000,24.100000,23.900000,23.990000,15.867912,677200
2003-11-10,24.000000,24.000000,23.629999,23.650000,15.643022,694200
2003-11-11,23.670000,23.730000,23.570000,23.590000,15.603333,1323200
2003-11-12,23.700001,23.959999,23.610001,23.959999,15.848080,348800
2003-11-13,23.799999,23.950001,23.799999,23.940001,15.834837,147900
2003-11-14,23.920000,24.170000,23.770000,23.799999,15.742237,717900
2003-11-17,23.750000,23.780001,23.430000,23.639999,15.636411,621200
2003-11-18,23.740000,23.740000,23.469999,23.570000,15.590111,176300
2003-11-19,23.570000,23.639999,23.450001,23.580000,15.596729,331000
2003-11-20,23.490000,23.639999,23.270000,23.400000,15.477665,179300
2003-11-21,23.410000,23.549999,23.389999,23.459999,15.517350,581400
2003-11-24,23.580000,23.780001,23.570000,23.770000,15.722403,321000
2003-11-25,23.770000,24.160000,23.770000,24.110001,15.947285,648400
2003-11-26,24.299999,24.430000,24.240000,24.400000,16.139103,286700
2003-11-28,24.400000,24.500000,24.400000,24.450001,16.172178,77500
2003-12-01,24.600000,25.180000,24.600000,25.180000,16.655025,711900
2003-12-02,25.150000,25.219999,25.030001,25.150000,16.635187,2435800
2003-12-03,25.270000,25.500000,25.170000,25.360001,16.774088,558800
2003-12-04,25.360001,25.559999,25.290001,25.530001,16.886528,383100
2003-12-05,25.500000,25.500000,25.250000,25.299999,16.734400,520400
2003-12-08,25.360001,25.719999,25.299999,25.719999,17.012201,505200
2003-12-09,25.879999,25.930000,25.680000,25.680000,16.985741,2218600
2003-12-10,25.680000,25.750000,25.299999,25.379999,16.787308,595200
2003-12-11,25.379999,25.680000,25.280001,25.629999,16.952669,424600
2003-12-12,25.780001,25.889999,25.660000,25.850000,17.098196,2739600
2003-12-15,26.150000,26.150000,25.730000,25.820000,17.078350,806100
2003-12-16,25.870001,25.879999,25.570000,25.820000,17.078350,499800
2003-12-17,25.629999,25.990000,25.629999,25.969999,17.177561,284400
2003-12-18,25.950001,26.260000,25.900000,26.190001,17.323080,881100
2003-12-19,26.180000,26.200001,25.930000,26.049999,17.331728,513600
2003-12-22,26.190001,26.340000,26.120001,26.309999,17.504717,418900
2003-12-23,26.420000,26.430000,26.190001,26.370001,17.544634,1246000
2003-12-24,26.200001,26.350000,26.200001,26.270000,17.478100,320100
