Date,Open,High,Low,Close,Adj Close,Volume
2003-09-30,20.779854,20.796101,20.487410,20.641754,14.001703,2792031
2003-10-01,20.714867,21.194151,20.714867,21.161657,14.354363,2844102
2003-10-02,21.121040,21.267262,21.096668,21.202274,14.381922,2233773
2003-10-03,21.445978,21.616571,21.283508,21.364744,14.492122,1855979
2003-10-06,21.389114,21.527214,21.316004,21.462227,14.558248,1690902
2003-10-07,21.324127,21.600325,21.275387,21.592201,14.646414,836834
2003-10-08,21.600325,21.665314,21.486595,21.559708,14.624379,1104576
2003-10-09,21.803411,21.827782,21.584078,21.616571,14.662949,2746853
2003-10-10,21.608448,21.705931,21.592201,21.616571,14.662949,2756209
2003-10-13,21.811535,21.974005,21.746548,21.957758,14.894382,1916790
2003-10-14,21.974005,22.103981,21.876522,22.087734,14.982537,3365677
2003-10-15,22.274574,22.282698,21.909018,22.030869,14.943972,2196966
2003-10-16,22.030869,22.144598,21.941511,22.055241,14.960497,7777089
2003-10-17,22.022745,22.055241,21.738424,21.860275,14.828250,3809330
2003-10-20,21.860275,21.933388,21.714054,21.868401,14.833764,1654218
2003-10-21,21.974005,21.974005,21.762794,21.860275,14.828250,3411347
2003-10-22,21.567831,21.714054,21.445978,21.551584,14.618856,10436664
2003-10-23,21.405361,21.819658,21.405361,21.697807,14.718048,2904791
2003-10-24,21.567831,21.689684,21.454102,21.673435,14.701520,1061614
2003-10-27,21.689684,21.965881,21.575954,21.673435,14.701520,5143364
2003-10-28,21.892771,21.949635,21.665314,21.949635,14.888862,2153511
2003-10-29,21.811535,22.047115,21.811535,21.982128,14.910909,2228479
2003-10-30,22.055241,22.217709,21.933388,22.014622,14.932948,2496468
2003-10-31,22.136475,22.144598,22.038994,22.071487,14.971521,1426729
2003-11-03,22.136475,22.372055,22.095858,22.307068,15.131323,2652313
2003-11-04,22.250202,22.298944,22.160845,22.193338,15.054177,1506744
2003-11-05,22.168968,22.201462,21.949635,22.144598,15.021114,2736759
2003-11-06,22.177092,22.250202,21.974005,22.250202,15.092743,2703645
2003-11-07,22.258327,22.323315,22.014622,22.014622,14.932948,3147298
2003-11-10,22.079611,22.079611,21.933388,22.038994,14.949483,3741255
2003-11-11,21.892771,22.047115,21.892771,21.965881,14.899884,1074048
2003-11-12,22.055241,22.144598,21.990252,22.136475,15.015595,1362963
2003-11-13,22.136475,22.136475,21.990252,22.063362,14.966013,1314462
2003-11-14,22.095858,22.103981,21.730301,21.779041,14.773150,2110919
2003-11-17,21.559708,21.746548,21.543461,21.722178,14.734578,5482751
2003-11-18,21.795288,21.819658,21.470348,21.470348,14.563754,3695093
2003-11-19,21.527214,21.640942,21.372868,21.632818,14.673966,932113
2003-11-20,21.543461,21.705931,21.413485,21.445978,14.547225,2341731
2003-11-21,21.527214,21.600325,21.462227,21.567831,14.629884,1743219
2003-11-24,21.770918,21.811535,21.689684,21.770918,14.767633,1652494
2003-11-25,21.770918,21.933388,21.730301,21.892771,14.850297,3932676
2003-11-26,22.055241,22.055241,21.827782,22.022745,14.938457,1163664
2003-11-28,22.063362,22.095858,21.965881,21.990252,14.916417,1084757
2003-12-01,22.112104,22.258327,22.079611,22.242081,15.087236,1460828
2003-12-02,22.177092,22.298944,22.128351,22.177092,15.043152,4227870
2003-12-03,22.331438,22.331438,22.128351,22.136475,15.015595,1876413
2003-12-04,22.168968,22.250202,22.103981,22.193338,15.054177,857268
2003-12-05,22.160845,22.160845,21.982128,22.014622,14.932948,1217951
2003-12-08,21.949635,22.250202,21.949635,22.217709,15.070704,1122549
2003-12-09,22.201462,22.250202,21.982128,22.022745,14.938457,4360448
2003-12-10,22.136475,22.136475,21.827782,21.900894,14.855809,1097313
2003-12-11,22.014622,22.217709,21.941511,22.152721,15.026616,3170317
2003-12-12,22.177092,22.282698,22.128351,22.217709,15.070704,4799300
2003-12-15,22.664499,22.664499,22.103981,22.160845,15.032135,3039585
2003-12-16,22.095858,22.355808,22.095858,22.355808,15.164382,3179673
2003-12-17,22.339561,22.339561,22.152721,22.274574,15.109278,1643385
2003-12-18,22.298944,22.493908,22.225834,22.469538,15.241527,3725498
2003-12-19,22.380178,22.445168,22.307068,22.404549,15.288087,1824465
2003-12-22,22.258327,22.542648,22.258327,22.526402,15.371237,1723031
2003-12-23,22.542648,22.632006,22.502031,22.558895,15.393407,1845146
2003-12-24,22.623882,22.623882,22.502031,22.558895,15.393407,977660
2003-12-26,22.599512,22.607635,22.550772,22.550772,15.387865,115099
2003-12-29,22.542648,22.859465,22.542648,22.859465,15.598509,2195119
2003-12-30,22.908205,22.908205,22.770105,22.908205,15.631765,4976194
2003-12-31,22.908205,22.989439,22.810722,22.851339,15.592966,2224417
2004-01-02,22.891958,23.095045,22.729488,22.818846,15.570791,2712016
2004-01-05,22.908205,23.038179,22.843218,23.005686,15.698280,2381123
2004-01-06,22.973192,23.038179,22.745735,22.997562,15.692742,1532595
2004-01-07,23.030058,23.038179,22.883835,23.013809,15.703827,3991764
2004-01-08,23.095045,23.192526,22.973192,23.095045,15.759259,1365918
2004-01-09,22.891958,23.225019,22.786352,23.013809,15.703827,7660144
2004-01-12,23.111292,23.111292,22.997562,23.111292,15.770351,1009420
2004-01-13,22.989439,23.151909,22.826969,22.997562,15.692742,2653051
2004-01-14,23.192526,23.208773,23.013809,23.176279,15.814699,2687150
2004-01-15,23.558083,23.558083,23.233145,23.371243,15.947727,10516187
2004-01-16,23.639318,23.639318,23.395613,23.444353,15.997616,1943380
2004-01-20,23.793665,23.801786,23.354996,23.411860,15.975444,4649118
2004-01-21,23.460602,23.801786,23.371243,23.761169,16.213802,4060207
2004-01-22,23.801786,23.931763,23.761169,23.761169,16.213802,2896051
2004-01-23,23.923639,23.923639,23.582453,23.647442,16.136194,5280128
2004-01-26,23.663689,23.996752,23.598700,23.972380,16.357918,2827607
2004-01-27,23.866776,23.988626,23.761169,23.809912,16.247059,1514746
2004-01-28,23.801786,23.972380,23.314379,23.387489,15.958812,4766555
2004-01-29,23.436232,23.598700,23.290009,23.582453,16.091850,9104968
2004-01-30,23.549959,23.712429,23.452478,23.598700,16.102930,6237969
2004-02-02,23.614946,23.915516,23.606825,23.736799,16.197166,1322833
2004-02-03,23.679935,23.793665,23.647442,23.761169,16.213802,2215431
2004-02-04,23.590576,23.728676,23.549959,23.566206,16.080763,2571682
2004-02-05,23.679935,23.679935,23.476849,23.558083,16.075222,5514265
2004-02-06,23.606825,23.964256,23.590576,23.956133,16.346836,4890024
