Date,Open,High,Low,Close,Adj Close,Volume
2003-09-30,27.700001,27.820000,27.400000,27.580000,21.695808,115600
2003-10-01,27.820000,28.400000,27.820000,28.340000,22.293680,1902300
2003-10-02,28.250000,28.500000,28.190001,28.490000,22.411667,188400
2003-10-03,28.920000,29.129999,28.750000,28.809999,22.663397,471700
2003-10-06,28.930000,29.110001,28.750000,29.020000,22.828588,156200
2003-10-07,28.780001,29.160000,28.740000,29.139999,22.922995,347300
2003-10-08,29.180000,29.180000,28.879999,28.930000,22.757790,23200
2003-10-09,29.370001,29.629999,29.219999,29.299999,23.048862,244400
2003-10-10,29.400000,29.500000,29.250000,29.360001,23.096054,115400
2003-10-13,29.400000,29.770000,29.400000,29.660000,23.332048,402100
2003-10-14,29.680000,29.820000,29.520000,29.820000,23.457918,51100
2003-10-15,29.900000,29.900000,29.510000,29.700001,23.363514,190400
2003-10-16,29.600000,29.910000,29.590000,29.830000,23.465778,60700
2003-10-17,29.830000,29.850000,29.360001,29.410000,23.135382,373500
2003-10-20,29.400000,29.469999,29.250000,29.379999,23.111782,29300
2003-10-21,29.450001,29.559999,29.330000,29.469999,23.182589,105400
2003-10-22,29.150000,29.200001,28.950001,29.059999,22.860062,264300
2003-10-23,28.969999,29.150000,28.889999,29.059999,22.860062,98900
2003-10-24,28.900000,29.090000,28.680000,29.090000,22.883661,189000
2003-10-27,29.219999,29.490000,29.219999,29.410000,23.135382,348200
2003-10-28,29.700001,30.070000,29.530001,30.070000,23.654572,81700
2003-10-29,30.000000,30.110001,29.889999,30.010000,23.607378,70700
2003-10-30,30.250000,30.299999,29.860001,30.110001,23.686043,95400
2003-10-31,30.180000,30.180000,29.950001,30.090000,23.670307,170800
2003-11-03,30.299999,30.440001,30.209999,30.320000,23.851240,64900
2003-11-04,30.190001,30.320000,30.100000,30.139999,23.709642,58800
2003-11-05,30.150000,30.160000,29.850000,30.110001,23.686043,150500
2003-11-06,30.100000,30.330000,29.950001,30.330000,23.859104,26600
2003-11-07,30.480000,30.620001,30.360001,30.410000,23.922039,65300
2003-11-10,30.250000,30.320000,30.049999,30.049999,23.638842,102000
2003-11-11,30.150000,30.150000,29.950001,30.000000,23.599506,119600
2003-11-12,30.150000,30.320000,30.070000,30.299999,23.835508,296600
2003-11-13,30.209999,30.209999,30.030001,30.190001,23.748980,78800
2003-11-14,30.250000,30.340000,29.850000,29.860001,23.489386,453900
